Categoria;Qunt.;Item;Imagem;Orçado;Site;Status
Suíte;1;Jogo de cama Queen;https://lojafirstclass.vteximg.com.br/arquivos/ids/167502-1000-1000/JogoCamaCausal_Branco_02--1-.jpg?v=637937529906300000; 200,00 ;https://www.firstclass.com.br/jogo-de-cama-percal-queen---100--algodao-liso---branco---0007/p;Disponível
Suíte;1;Edredom Queen;https://static.riachuelo.com.br/RCHLO/14474026001/portrait/42d91b232c1c074e66103c9b8756ba7a5319c2bd.jpg; 480,00 ;https://www.riachuelo.com.br/edredom-queen-linen-cinza-claro-casa-riachuelo-14474280001_sku;Disponível
Suíte;1;Colcha Queen;https://static.riachuelo.com.br/RCHLO/14521784001/portrait/e7b4244390d94fd8f43cfb745548cb25552b25c9.jpg; 300,00 ;https://www.riachuelo.com.br/kit-colcha-casal-queen-triangle-3-pecas-branco-casa-riachuelo-14521784001_sku;Disponível
Suíte;1;Manta Queen;https://static.riachuelo.com.br/RCHLO/14476819001/portrait/76ac489778caa5ad2abcccff938ee91c36665baf.jpg?imwidth=700; 350,00 ;https://www.riachuelo.com.br/manta-queen-premium-azul-marinho-casa-riachuelo-14476819001_sku;Disponível
Suíte;1;Manta Queen;https://static.riachuelo.com.br/RCHLO/14404885001/portrait/c0ab7f73596172cdb48c2cb44252fc7daaf77fc0.jpg; 100,00 ;https://www.riachuelo.com.br/manta-queen-fleece-colbie-preto-branco-casa-riachuelo-14405008001_sku;Indisponível
Suíte;1;Ar condicionado Split;https://m.media-amazon.com/images/I/51-SnWDL+FL._AC_SX425_.jpg; 2.200,00 ;https://www.amazon.com.br/dp/B09QT4MYVM/ref=olp-opf-redir?aod=1&ie=UTF8&condition=new&creative=380345&creativeASIN=B09QT4MYVM&linkCode=asm&tag=zoom059-20&ascsubtag=c25775adf3cf42b6814a5a50fc43eedd;Disponível
Cozinha;1;Espremedor de frutas;https://imgs.casasbahia.com.br/410915/1g.jpg; 180,00 ;https://www.casasbahia.com.br/extrator-de-frutas-mondial-turbo-premium-e-10-250w-bivolt-preto-410915/p/410915?utm_medium=cpc&utm_source=GP_PLA&IdSku=410915&idLojista=10037&tipoLojista=1P&&utm_campaign=gg_pmax_core_elpo&gclid=Cj0KCQjwla-hBhD7ARIsAM9tQKuXFKzHYhKIKGQPUgjrr049tpL0GUtJwAoj8LKeaJs7VKCpoVV7rQkaAgS_EALw_wcB&gclsrc=aw.ds;Disponível
Cozinha;1;Batedeira oster inox (110v);https://a-static.mlcdn.com.br/1500x1500/batedeira-planetaria-oster-preto-tigela-inox-750w-obat651-12-velocidades-com-tampa/magazineluiza/224240000/55ff3f3bd1e53a4b46976a428d3aae58.jpg; 700,00 ;https://www.magazineluiza.com.br/batedeira-planetaria-oster-preto-tigela-inox-750w-obat651-12-velocidades-com-tampa/p/224240000/ep/bate/?&force=2&seller_id=magazineluiza&utm_source=google&utm_medium=pla&utm_campaign=&partner_id=68974&gclid=Cj0KCQjw2cWgBhDYARIsALggUhq9JYAmnIIBpCsCqJa5h5ngiKXNwmqZOrJMZcVS_6lwbvGjJRQqrEcaAkilEALw_wcB&gclsrc=aw.ds;Disponível
Cozinha;1;sanduicheira (110v);https://philco.vteximg.com.br/arquivos/ids/193391-1000-1000/Sanduicheira-e-Grill-Press-BGR27I.jpg?v=637679127223970000; 160,00 ;https://britania.com.br/sanduicheira-e-grill-press-bgr27i-127v-066701176/p?idsku=9003&gclid=CjwKCAiAk--dBhABEiwAchIwkT-B0BA86jhTXvS1fJjhQMDbl1fS2PpNauJOKxurJ6q1X2MfSoz2UxoCtOEQAvD_BwE;Disponível
Cozinha;1;torradeira (110v);https://imgmarketplace.lojasrenner.com.br/20000/2299/701796976/755325540/1.jpg; 160,00 ;https://www.camicado.com.br/p/torradeira-eletrica-oster-black-750w-preto-127v-otor650-127/-/A-701796976-br.lc?sku=755325540&utm_id=18288428054&gclid=Cj0KCQjwla-hBhD7ARIsAM9tQKulojzdY4G4iQ9kFr6gU0eW8gkCZBdsLbkzPQSIgPf-DkEtulA_b4waAhmrEALw_wcB;Disponível
Cozinha;1;Liquidificador;https://imgs.casasbahia.com.br/11823521/1xg.jpg?imwidth=500; 150,00 ;;Indisponível
Cozinha;1;Jogo de Copo 480ml;https://loja.nadir.com.br/media/catalog/product/cache/c9374bbd89641c59bc521af8dd3dd140/7/6/76640200913352_01_-_fam.jpg; 60,00 ;https://loja.nadir.com.br/jogo-de-copos-nadir-dubai-480-ml-com-6-pecas?gclid=Cj0KCQiA4OybBhCzARIsAIcfn9n7AWtT4VxoXmmkOVtT8bSR2PtZFEX09-NdFtr9bQ4eU7T_6-PkEq0aAjBlEALw_wcB;Disponível
Cozinha;1;Jogo de Copo 350ml;https://loja.nadir.com.br/media/catalog/product/cache/c9374bbd89641c59bc521af8dd3dd140/2/6/26410200898017_01.jpg; 55,00 ;https://loja.nadir.com.br/jogo-de-copos-vitrage-nadir-350-ml-com-8-pecas;Disponível
Cozinha;1;Jogo de Copo 300ml;https://loja.nadir.com.br/media/catalog/product/cache/c9374bbd89641c59bc521af8dd3dd140/7/7/7704_01.jpg; 50,00 ;;Indisponível
Cozinha;1;Jarra de suco;https://img.camicado.com.br/item/100404070/large/1.jpg; 120,00 ;https://www.camicado.com.br/p/jarra-clear-16-l-home-style/-/A-100404061-br.lc?sku=100404070&utm_id=18284372104&gclid=Cj0KCQiA4OybBhCzARIsAIcfn9m4Fv7HJw1VRDkWiM4rXTqw61zeYLuEcEE5S6RUeMC8KPQAEByXSZYaAmJ8EALw_wcB;Indisponível
Cozinha;1;kit utensílios silicone Preto;https://m.media-amazon.com/images/I/51bhN-HuKHL._AC_SX679_.jpg; 130,00 ;https://www.amazon.com.br/colheres-escumadeiras-espatulas-silicone-pe%C3%A7as/dp/B09LF91KKV/ref=asc_df_B09LF91KKV/?tag=googleshopp00-20&linkCode=df0&hvadid=379727414590&hvpos=&hvnetw=g&hvrand=4854266964103192112&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1001655&hvtargid=pla-1474809605186&th=1;Disponível
Cozinha;1;jogo de talher;https://cf.shopee.com.br/file/987c0614ed78de7e750576cda937dfcb; 300,00 ;;Indisponível
Cozinha;1;kit assadeiras Retangular;https://m.media-amazon.com/images/I/71RW1XwFg7L._AC_SX679_.jpg; 250,00 ;https://www.amazon.com.br/Assadeiras-Alum%C3%ADnio-Revestimento-Antiaderente-Tramontina/dp/B008R7SQ40?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&smid=A1ZZFT5FULY4LN&th=1;Disponível
Cozinha;1;kit forma de bolo redonda;https://d3ugyf2ht6aenh.cloudfront.net/stores/001/153/375/products/loja-oca_rochedo-bolo-perfeito_combo-3-formas-antiaderentes1-f1d2dc87cb901439ae16801030693373-640-0.webp; 180,00 ;https://www.lojaoca.com.br/produtos/combo-3-formas-rochedo-bolo-perfeito/?gclid=CjwKCAiA76-dBhByEiwAA0_s9Zd_Nu-yY53x0zllxeglMtEfXrO8LilR9AztJigO1Rq1mNceix6vhBoCPjAQAvD_BwE;Disponível
Cozinha;1;Forma de pedra para pizza;https://34176.cdn.simplo7.net/static/34176/sku/pizza-forma-e-assadeira-de-pizza-forma-para-pizza-de-pedra-sabao-com-31-cm-de-diametro-1653570118304.jpg; 75,00 ;https://www.artesanatopedrasabao.com.br/pizza-forma-e-assadeira-de-pizza/forma-para-pizza-de-pedra-sabao-com-31-cm-de-diametro;Disponível
Cozinha;1;Aparelho de Jantar 6 pessoas;https://oxfordporcelanas.vteximg.com.br/arquivos/ids/155909-1000-1000/oxford-porcelanas-aparelho-de-jantar-coup-white-30-pecas-00.jpg?v=636213630595600000; 700,00 ;https://www.oxfordporcelanas.com.br/coup-white/p?idsku=10100902&gclid=Cj0KCQjwla-hBhD7ARIsAM9tQKu-GNS-s-E0ZSQ8e3vu-uJYmjF2J35x29WAbPD11TgGM1hwcTy_Db0aAnMgEALw_wcB;Disponível
Cozinha;1;Saleiro;https://cf.shopee.com.br/file/3750ee1ca6f2064a10db6b91c8b8eb67; 50,00 ;https://shopee.com.br/Saleiro-De-Porcelana-Com-Colher-Porta-Condimentos-Com-Tampa-de-Bambu-Lyor-i.390772893.16354550037?xptdk=ba1c396e-9363-4e14-a5cf-3d5f8b6cac5a;Disponível
